장기요양기관코드,기관유형코드,,,
12626000126,A03,,,
12626000167,A03,,,
12626000247,A03,,,
12626000308,A03,,,
12629000004,A03,,,
12629000061,A03,,,
12629000108,A03,,,
12629000165,A04,,,
12632000004,A03,,,
12632000009,A03,,,
12632000018,A03,,,
12632000049,A03,,,
12632000053,A03,,,
12632000098,A03,,,
12632000188,A03,,,
12632000200,A03,,,
12632000210,A03,,,
12632000284,A04,,,
12632000308,A03,,,
12632000332,A03,,,
12632000334,A04,,,
12635000006,A03,,,
12635000008,A03,,,
12635000023,A03,,,
12635000064,A03,,,
12635000064,A04,,,
12635000136,A03,,,
12635000150,A03,,,
12635000221,A04,,,
12635000235,A04,,,
12635000240,A04,,,
12635000323,A03,,,
12638000008,A03,,,
12638000008,G31,,,
12638000008,G32,,,
12638000010,A03,,,
12638000011,A03,,,
12638000086,A03,,,
12638000107,A03,,,
12638000116,A03,,,
12638000118,A03,,,
12638000191,A03,,,
12638000230,A03,,,
12638000231,A03,,,
12638000234,A04,,,
12638000248,A03,,,
12638000253,A03,,,
12641000001,A03,,,
12641000003,A03,,,
12641000003,G31,,,
12641000003,G32,,,
12641000003,G33,,,
12641000003,G34,,,
12641000004,A03,,,
12641000005,A03,,,
12641000006,A03,,,
12641000007,A03,,,
12641000024,A03,,,
12641000037,A03,,,
12644000009,A03,,,
12644000019,A03,,,
12644000021,A03,,,
12644000065,A03,,,
12644000070,A03,,,
12644000074,A03,,,
12647000001,A03,,,
12647000020,A03,,,
12647000046,A04,,,
12647000047,A04,,,
12647000048,A04,,,
12647000137,A04,,,
12647000148,A03,,,
12647000210,A04,,,
12650000004,A03,,,
12650000005,A03,,,
12650000010,A04,,,
12650000013,A03,,,
12650000014,A03,,,
12650000147,A03,,,
12653000043,A03,,,
12653000051,A03,,,
12653000056,A03,,,
12653000078,A03,,,
12653000078,G31,,,
12653000078,G32,,,
12653000078,G33,,,
12653000087,A03,,,
12653000087,A04,,,
12653000088,A03,,,
12653000092,A03,,,
12653000182,A04,,,
12671000003,A03,,,
12671000004,A03,,,
12671000037,A03,,,
12671000062,A03,,,
12671000075,A03,,,
12671000077,A03,,,
12671000086,A03,,,
12671000090,A03,,,
12671000094,A03,,,
12671000100,A03,,,
12671000107,A03,,,
12671000108,A03,,,
12671000117,A03,,,
12671000138,A04,,,
12671000160,A03,,,
12671000207,A04,,,
12671000238,A03,,,
12671000262,A04,,,
12671000270,A03,,,
12671000279,A03,,,
12711000079,A04,,,
12711000091,A04,,,
12711000113,A03,,,
12711000132,A03,,,
12711000154,A03,,,
12714000001,A03,,,
12714000003,A03,,,
12714000008,A03,,,
12714000011,A03,,,
12714000015,A03,,,
12714000051,A03,,,
12714000169,A03,,,
12714000174,A04,,,
12714000183,A03,,,
12714000265,A04,,,
12714000269,A03,,,
12714000295,A03,,,
12714000312,A03,,,
12714000317,A03,,,
12714000318,A03,,,
